Manufacturer,Position,Part Code (MPN),Part Description
Sanremo,234c,10112096,PIN TO PIN 1400mm PIN TO PIN CABLE 1400mm
Sanremo,235a,10554040,LAMPADA SPOT RM2 L790 NERO BLACK SPOT LAMP CABLE 2GR
Sanremo,235b,10554044,LAMPADA SPOT RM3 NERO BLACK SPOT LAMP CABLE 3GR
Sanremo,235c,10554048,LAMPADA SPOT RM3 NERO BLACK SPOT LAMP CABLE 3GR
Sanremo,236,10112106,PIN TO PIN 1100mm AMP PIN TO PIN CABLE 1100mm AMP
Sanremo,237,10112109,PIN TO PIN 320mm AMP PIN TO PIN CABLE 320mm AMP
Sanremo,238,10553090,BOMB.NERO SER.LAMPADINA BLACK ROUNDED BUTTON  WHIT LAMP SERIGRAPHY 
Sanremo,239,10553086,BOMB.NERO SER.TAZZA BLACK ROUNDED BUTTON  WHIT CUP SERIGRAPHY 
Sanremo,240,10553088,"BOMB.NERO SER. RESIST. ""BLACK ROUNDED BUTTON  WHIT RESISTANCE  SERIGRAPHY"""
Sanremo,241,10553078,D.16 NERO ANTIROTAZ. ANTI ROTARY SUPPORT D16
Sanremo,242,10553080,BIP.CM BIP SWITCH 
